"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Выполняем удаление Пользователя используя неверные данные.","182","Негативный сценарий проверки удаления Пользователя: wrong values","tests","Sun Jul 27 19:57:06 MSK 2025","passed","Sun Jul 27 19:57:06 MSK 2025","TestUserDelete","test_user","",""
"Используя верные данные, выполняем создание заказа.","2914","Позитивный сценарий создания Заказа.","tests","Sun Jul 27 19:56:50 MSK 2025","passed","Sun Jul 27 19:56:53 MSK 2025","TestCreateOrder","test_order","",""
"Выполняем изменения информации Пользователя неавторизованным пользователем.","177","Негативный сценарий изменения информации Пользователя.","tests","Sun Jul 27 19:57:10 MSK 2025","passed","Sun Jul 27 19:57:10 MSK 2025","TestUserInfo","test_user","",""
"Выполняем создание заказа без авторизации.","184","Позитивный сценарий создания Заказа без авторизации.","tests","Sun Jul 27 19:56:57 MSK 2025","passed","Sun Jul 27 19:56:57 MSK 2025","TestCreateOrder","test_order","",""
"Выполняем удаление Пользователя используя неверные данные.","170","Негативный сценарий проверки удаления Пользователя: wrong values","tests","Sun Jul 27 19:57:06 MSK 2025","passed","Sun Jul 27 19:57:06 MSK 2025","TestUserDelete","test_user","",""
"Выполняем изменения информации Пользователя используя верные данные.","175","Позитивный сценарий изменения информации Пользователя.","tests","Sun Jul 27 19:57:09 MSK 2025","passed","Sun Jul 27 19:57:09 MSK 2025","TestUserInfo","test_user","",""
"Выполняем создание заказа без ингредиента.","441","Негативный сценарий создания Заказа без ингредиента.","tests","Sun Jul 27 19:56:57 MSK 2025","passed","Sun Jul 27 19:56:57 MSK 2025","TestCreateOrder","test_order","",""
"Выполняем получения Заказа авторизованным пользователем.","542","Позитивный сценарий получения информации о Заказе.","tests","Sun Jul 27 19:57:01 MSK 2025","passed","Sun Jul 27 19:57:01 MSK 2025","TestUserOrders","test_order","",""
"Выполняем логин Пользователя используя неверные данные.","256","Негативный сценарий проверки логина Пользователя: wrong values","tests","Sun Jul 27 19:57:04 MSK 2025","passed","Sun Jul 27 19:57:04 MSK 2025","TestUserLogin","test_user","",""
"Выполняем логин Пользователя используя неверные данные.","179","Негативный сценарий проверки логина Пользователя: wrong values","tests","Sun Jul 27 19:57:04 MSK 2025","passed","Sun Jul 27 19:57:04 MSK 2025","TestUserLogin","test_user","",""
"Используя верные данные, удаляем Пользователя.","571","Позитивный сценарий удаления Пользователя.","tests","Sun Jul 27 19:57:05 MSK 2025","passed","Sun Jul 27 19:57:05 MSK 2025","TestUserDelete","test_user","",""
"Выполняем изменения информации Пользователя используя верные данные.","177","Позитивный сценарий изменения информации Пользователя.","tests","Sun Jul 27 19:57:08 MSK 2025","passed","Sun Jul 27 19:57:08 MSK 2025","TestUserInfo","test_user","",""
"Используя неверные данные, выполняем создание заказа.","436","Негативный сценарий создания Заказа.","tests","Sun Jul 27 19:56:56 MSK 2025","passed","Sun Jul 27 19:56:56 MSK 2025","TestCreateOrder","test_order","",""
"Выполняем изменения информации Пользователя неавторизованным пользователем.","166","Негативный сценарий изменения информации Пользователя.","tests","Sun Jul 27 19:57:10 MSK 2025","passed","Sun Jul 27 19:57:10 MSK 2025","TestUserInfo","test_user","",""
"Выполняем создание Пользователя используя пустые вводные данные.","172","Негативный сценарий проверки создания Пользователя: missing values","tests","Sun Jul 27 19:57:03 MSK 2025","passed","Sun Jul 27 19:57:03 MSK 2025","TestUserCreate","test_user","",""
"Используя верные данные, выполняем создание заказа.","2767","Позитивный сценарий создания Заказа.","tests","Sun Jul 27 19:56:53 MSK 2025","passed","Sun Jul 27 19:56:56 MSK 2025","TestCreateOrder","test_order","",""
"Используя активный аккаунт Пользователя, выполняем логин.","262","Позитивный сценарий проверки логина Пользователя.","tests","Sun Jul 27 19:57:03 MSK 2025","passed","Sun Jul 27 19:57:03 MSK 2025","TestUserLogin","test_user","",""
"Выполняем получения неавторизованным пользователем.","170","Негативный сценарий получения информации о Заказе неавторизованным пользователем.","tests","Sun Jul 27 19:57:02 MSK 2025","passed","Sun Jul 27 19:57:02 MSK 2025","TestUserOrders","test_order","",""
"Выполняем создание Пользователя используя eybrfkmyst данные.","257","Gjpbnbdysq сценарий создания Пользователя","tests","Sun Jul 27 19:57:02 MSK 2025","passed","Sun Jul 27 19:57:02 MSK 2025","TestUserCreate","test_user","",""
"Выполняем изменения информации Пользователя неавторизованным пользователем.","174","Негативный сценарий изменения информации Пользователя.","tests","Sun Jul 27 19:57:10 MSK 2025","passed","Sun Jul 27 19:57:10 MSK 2025","TestUserInfo","test_user","",""
"Выполняем логин Пользователя используя неверные данные.","171","Негативный сценарий проверки логина Пользователя: wrong values","tests","Sun Jul 27 19:57:03 MSK 2025","passed","Sun Jul 27 19:57:04 MSK 2025","TestUserLogin","test_user","",""
"Используя верные данные, выполняем создание заказа.","2789","Позитивный сценарий создания Заказа.","tests","Sun Jul 27 19:56:47 MSK 2025","passed","Sun Jul 27 19:56:50 MSK 2025","TestCreateOrder","test_order","",""
"Выполняем создание заказа без авторизации.","191","Позитивный сценарий создания Заказа без авторизации.","tests","Sun Jul 27 19:56:58 MSK 2025","passed","Sun Jul 27 19:56:58 MSK 2025","TestCreateOrder","test_order","",""
"Выполняем создание Пользователя используя данные уже существующего.","181","Негативный сценарий проверки создания Пользователя: existing credentials","tests","Sun Jul 27 19:57:02 MSK 2025","passed","Sun Jul 27 19:57:03 MSK 2025","TestUserCreate","test_user","",""
"Выполняем изменения информации Пользователя используя верные данные.","182","Позитивный сценарий изменения информации Пользователя.","tests","Sun Jul 27 19:57:06 MSK 2025","passed","Sun Jul 27 19:57:07 MSK 2025","TestUserInfo","test_user","",""
"Выполняем создание заказа без авторизации.","182","Позитивный сценарий создания Заказа без авторизации.","tests","Sun Jul 27 19:56:57 MSK 2025","passed","Sun Jul 27 19:56:58 MSK 2025","TestCreateOrder","test_order","",""
"Выполняем логин Пользователя используя неверные данные.","253","Негативный сценарий проверки логина Пользователя: wrong values","tests","Sun Jul 27 19:57:04 MSK 2025","passed","Sun Jul 27 19:57:04 MSK 2025","TestUserLogin","test_user","",""
"Используя неверные данные, выполняем создание заказа.","423","Негативный сценарий создания Заказа.","tests","Sun Jul 27 19:56:56 MSK 2025","passed","Sun Jul 27 19:56:57 MSK 2025","TestCreateOrder","test_order","",""
"Выполняем создание Пользователя используя пустые вводные данные.","161","Негативный сценарий проверки создания Пользователя: missing values","tests","Sun Jul 27 19:57:03 MSK 2025","passed","Sun Jul 27 19:57:03 MSK 2025","TestUserCreate","test_user","",""
"Выполняем создание Пользователя используя пустые вводные данные.","178","Негативный сценарий проверки создания Пользователя: missing values","tests","Sun Jul 27 19:57:03 MSK 2025","passed","Sun Jul 27 19:57:03 MSK 2025","TestUserCreate","test_user","",""
